epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,258.663,3.48901,0.07432,0.18919,3.85722,7.05697e-05,7.05697e-05,7.05697e-05
2,521.815,2.46487,0.10473,0.18243,4.69459,0.000134562,0.000134562,0.000134562
3,830.627,1.63652,0.13176,0.21959,5.32244,0.000191525,0.000191525,0.000191525
4,1086.4,1.02483,0.15203,0.22297,6.06751,0.000181369,0.000181369,0.000181369
5,1317.03,0.69545,0.17568,0.23649,6.85361,0.000170826,0.000170826,0.000170826
6,1554.34,0.53766,0.1723,0.22635,6.99128,0.000160282,0.000160282,0.000160282
7,1789.06,0.4411,0.16892,0.23311,7.47363,0.000149739,0.000149739,0.000149739
8,2045.27,0.363,0.17568,0.23986,7.71938,0.000139196,0.000139196,0.000139196
9,2297.85,0.32664,0.17905,0.23311,7.53079,0.000128652,0.000128652,0.000128652
10,2540.71,0.26793,0.17568,0.23986,7.94276,0.000118108,0.000118108,0.000118108
11,2782.77,0.27304,0.17568,0.24324,8.31253,0.000107565,0.000107565,0.000107565
12,3023.49,0.23871,0.17905,0.22973,8.48954,9.70215e-05,9.70215e-05,9.70215e-05
13,3267.13,0.23947,0.18243,0.23649,8.10466,8.6478e-05,8.6478e-05,8.6478e-05
14,3509.95,0.21215,0.17568,0.23986,8.3836,7.59345e-05,7.59345e-05,7.59345e-05
15,3748.33,0.20565,0.17905,0.24324,8.70614,6.5391e-05,6.5391e-05,6.5391e-05
16,3990.44,0.20906,0.17568,0.23649,8.58958,5.48475e-05,5.48475e-05,5.48475e-05
17,4231.7,0.19388,0.18243,0.23986,8.56911,4.4304e-05,4.4304e-05,4.4304e-05
18,4472.35,0.19938,0.18581,0.23986,8.63001,3.37605e-05,3.37605e-05,3.37605e-05
19,4713.47,0.16902,0.19257,0.23649,8.79494,2.3217e-05,2.3217e-05,2.3217e-05
20,4953.55,0.18421,0.18581,0.23311,8.54767,1.26735e-05,1.26735e-05,1.26735e-05
